com.samsung.shealth.tracker.pedometer_step_count,6266001,2
duration,version_code,run_step,walk_step,com.samsung.health.step_count.start_time,com.samsung.health.step_count.sample_position_type,com.samsung.health.step_count.custom,com.samsung.health.step_count.update_time,com.samsung.health.step_count.create_time,com.samsung.health.step_count.count,com.samsung.health.step_count.speed,com.samsung.health.step_count.distance,com.samsung.health.step_count.calorie,com.samsung.health.step_count.time_offset,com.samsung.health.step_count.deviceuuid,com.samsung.health.step_count.pkg_name,com.samsung.health.step_count.end_time,com.samsung.health.step_count.datauuid
,,151,0,2024-06-11 22:46:00.000,,,2024-06-11 22:46:59.000,2024-06-11 22:46:59.000,151,2.8631794,166.11475,16.472961,UTC-0300,rCXGezyjDZ,com.sec.android.app.shealth,2024-06-11 22:46:59.000,d5d4d7de-742f-1350-f1aa-fc9f580bfc25,
,,132,14,2024-06-11 22:47:00.000,,,2024-06-11 22:47:59.000,2024-06-11 22:47:59.000,146,2.7697446,156.41357,15.077789,UTC-0300,rCXGezyjDZ,com.sec.android.app.shealth,2024-06-11 22:47:59.000,5c9ac763-3eea-bf25-7868-2c6deedeb4b0,
,,153,0,2024-06-11 22:48:00.000,,,2024-06-11 22:48:59.000,2024-06-11 22:48:59.000,153,2.8912926,168.31494,16.676025,UTC-0300,rCXGezyjDZ,com.sec.android.app.shealth,2024-06-11 22:48:59.000,999f0fac-44ca-c183-7b29-593e876496dc,
,,152,0,2024-06-11 22:49:00.000,,,2024-06-11 22:49:59.000,2024-06-11 22:49:59.000,152,2.9017706,167.21484,16.561401,UTC-0300,rCXGezyjDZ,com.sec.android.app.shealth,2024-06-11 22:49:59.000,3da0f89a-d15d-7283-5165-a2514d6ef10f,
,,125,5,2024-06-11 22:50:00.000,,,2024-06-11 22:51:58.000,2024-06-11 22:50:59.000,130,2.768945,141.51245,13.914124,UTC-0300,rCXGezyjDZ,com.sec.android.app.shealth,2024-06-11 22:50:59.000,d23bae90-7da0-df2b-61db-278e050b2811,
,,0,41,2024-06-11 22:51:00.000,,,2024-06-11 22:51:59.000,2024-06-11 22:51:59.000,41,1.3025666,32.802002,2.1399536,UTC-0300,rCXGezyjDZ,com.sec.android.app.shealth,2024-06-11 22:51:59.000,8422e19d-6812-f5c4-45b7-be4bb0a0b57f,
,,0,20,2024-06-11 22:54:00.000,,,2024-06-11 22:54:59.000,2024-06-11 22:54:59.000,20,1.2870489,16.000977,1.045227,UTC-0300,rCXGezyjDZ,com.sec.android.app.shealth,2024-06-11 22:54:59.000,232fce74-798e-57d3-57c8-9fff2bb4ff69,
,,0,62,2024-06-11 22:55:00.000,,,2024-06-11 22:55:59.000,2024-06-11 22:55:59.000,62,1.4681338,49.603027,3.209259,UTC-0300,rCXGezyjDZ,com.sec.android.app.shealth,2024-06-11 22:55:59.000,98b1cae4-b93b-22d0-d492-dfa3457a6e5d,
,,0,53,2024-06-11 22:56:00.000,,,2024-06-11 22:56:59.000,2024-06-11 22:56:59.000,53,1.3589873,42.402588,2.7408447,UTC-0300,rCXGezyjDZ,com.sec.android.app.shealth,2024-06-11 22:56:59.000,0357bb05-2a3a-f6c6-52b6-73f501f59d0d,
,,0,19,2024-06-11 22:57:00.000,,,2024-06-11 22:57:59.000,2024-06-11 22:57:59.000,19,1.2890157,15.200928,1.0160217,UTC-0300,rCXGezyjDZ,com.sec.android.app.shealth,2024-06-11 22:57:59.000,0515bd83-c8ec-d5af-5dca-ea490dec0e70,
